timestamp,t,drone_id,experiment_id,pattern,x,y,z,vx,vy,vz,roll,pitch,yaw,ax,ay,az,gx,gy,gz,mx,my,mz,rpm1,rpm2,rpm3,rpm4,battery
1782572017.2661104,83.3940110206604,drone_1,,hover,,,,,,,,,,0.012,0.015,1.019,0.014,0.018,0.0,0.0,0.0,0.0,125,125,125,125,7.629
1782572017.5262277,83.65412831306458,drone_1,,hover,,,,,,,,,,0.011,0.015,1.017,0.013,0.017,-0.001,0.0,0.0,0.0,125,125,125,125,7.631
1782572017.796389,83.92428970336914,drone_1,,hover,,,,,,,,,,0.01,0.018,1.018,0.015,0.018,-0.001,0.0,0.0,0.0,125,125,125,125,7.631
1782572018.0896611,84.21756172180176,drone_1,,hover,,,,,,,,,,0.012,0.017,1.017,0.014,0.018,0.0,0.0,0.0,0.0,125,125,125,125,7.632
1782572018.3513637,84.47926425933838,drone_1,,hover,,,,,,,,,,0.012,0.015,1.019,0.014,0.017,-0.001,0.0,0.0,0.0,125,125,125,125,7.637
1782572018.6166058,84.74450635910034,drone_1,,hover,,,,,,,,,,0.012,0.015,1.019,0.015,0.018,0.0,0.0,0.0,0.0,125,125,125,125,7.636
1782572018.890001,85.01790165901184,drone_1,,hover,,,,,,,,,,0.011,0.015,1.017,0.015,0.018,0.0,0.0,0.0,0.0,125,125,125,125,7.635
1782572019.1545155,85.28241610527039,drone_1,,hover,,,,,,,,,,0.013,0.016,1.017,0.015,0.017,-0.001,0.0,0.0,0.0,125,125,125,125,7.636
1782572019.4088128,85.53671336174011,drone_1,,hover,,,,,,,,,,0.012,0.017,1.019,0.014,0.015,0.0,0.0,0.0,0.0,125,125,125,125,7.644
1782572019.7644753,85.89237594604492,drone_1,,hover,,,,,,,,,,0.011,0.015,1.019,0.014,0.017,-0.001,0.0,0.0,0.0,125,125,125,125,7.639
1782572020.1185267,86.24642729759216,drone_1,,hover,,,,,,,,,,0.011,0.015,1.019,0.017,0.018,0.0,0.0,0.0,0.0,125,125,125,125,7.644
